ZIP,MYear,Fuel,Make,Duty,Vehicles
90001,2010,Gasoline ,CHEVROLET,Light,32
90001,2010,Gasoline ,CHRYSLER,Light,19
90001,2010,Gasoline ,DODGE,Light,48
90001,2010,Gasoline ,FORD,Light,53
90001,2010,Gasoline ,HONDA,Light,91
90001,2010,Gasoline ,HYUNDAI,Light,15
90001,2010,Gasoline ,JEEP,Light,15
90001,2010,Gasoline ,KIA,Light,15
90001,2010,Gasoline ,MERCEDES-BENZ,Light,15
90001,2010,Gasoline ,NISSAN,Light,92
90001,2010,Gasoline ,OTHER/UNK,Heavy,2
90001,2010,Gasoline ,OTHER/UNK,Light,66
90001,2010,Gasoline ,SCION,Light,17
90001,2010,Gasoline ,TOYOTA,Light,150
90001,2010,Gasoline ,VOLKSWAGEN,Light,11
90001,2010,HG,OTHER/UNK,Light,10
90001,2010,HG,TOYOTA,Light,15
90001,2011,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,39
90001,2011,Diesel and Diesel Hybrid ,OTHER/UNK,Light,5
90001,2011,Battery Electric ,OTHER/UNK,Light,1
90001,2011,FXE,CHEVROLET,Light,49
90001,2011,FXE,DODGE,Light,12
90001,2011,FXE,FORD,Light,12
90001,2011,FXE,GMC,Light,11
90001,2011,FXE,OTHER/UNK,Heavy,4
90001,2011,FXE,OTHER/UNK,Light,13
90001,2011,Gasoline ,BMW,Light,29
90001,2011,Gasoline ,CHEVROLET,Light,61
90001,2011,Gasoline ,FORD,Light,49
90001,2011,Gasoline ,HONDA,Light,66
90001,2011,Gasoline ,HYUNDAI,Light,20
90001,2011,Gasoline ,JEEP,Light,14
90001,2011,Gasoline ,KIA,Light,35
90001,2011,Gasoline ,MERCEDES-BENZ,Light,13
90001,2011,Gasoline ,NISSAN,Light,115
90001,2011,Gasoline ,OTHER/UNK,Light,80
90001,2011,Gasoline ,SCION,Light,12
90001,2011,Gasoline ,TOYOTA,Light,180
90001,2011,HG,OTHER/UNK,Light,6
90001,2011,HG,TOYOTA,Light,14
90001,2012,Diesel and Diesel Hybrid ,FREIGHTLINER,Heavy,17
90001,2012,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,27
90001,2012,Diesel and Diesel Hybrid ,OTHER/UNK,Light,5
90001,2012,FXE,CHEVROLET,Light,33
90001,2012,FXE,CHRYSLER,Light,15
90001,2012,FXE,DODGE,Light,30
90001,2012,FXE,FORD,Light,13
90001,2012,FXE,OTHER/UNK,Heavy,1
90001,2012,FXE,OTHER/UNK,Light,16
90001,2012,Gasoline ,BMW,Light,18
90001,2012,Gasoline ,CHEVROLET,Light,58
90001,2012,Gasoline ,FORD,Light,37
90001,2012,Gasoline ,HONDA,Light,149
90001,2012,Gasoline ,HYUNDAI,Light,22
90001,2012,Gasoline ,JEEP,Light,14
90001,2012,Gasoline ,KIA,Light,51
90001,2012,Gasoline ,MERCEDES-BENZ,Light,14
90001,2012,Gasoline ,NISSAN,Light,159
90001,2012,Gasoline ,OTHER/UNK,Heavy,1
90001,2012,Gasoline ,OTHER/UNK,Light,76
90001,2012,Gasoline ,SCION,Light,27
90001,2012,Gasoline ,TOYOTA,Light,161
90001,2012,Gasoline ,VOLKSWAGEN,Light,16
90001,2012,HG,OTHER/UNK,Light,5
90001,2012,HG,TOYOTA,Light,17
90001,2012,PHEV,OTHER/UNK,Light,3
90001,2013,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,27
90001,2013,Diesel and Diesel Hybrid ,OTHER/UNK,Light,7
90001,2013,Battery Electric ,OTHER/UNK,Light,1
90001,2013,FXE,CHEVROLET,Light,40
90001,2013,FXE,DODGE,Light,34
90001,2013,FXE,FORD,Light,32
90001,2013,FXE,GMC,Light,11
90001,2013,FXE,OTHER/UNK,Light,21
90001,2013,Gasoline ,BMW,Light,19
